"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"16/10/2025 05:45 - 16/10/2025 06:00","Belgium (BE)","8227.15","8207.36"
"16/10/2025 06:00 - 16/10/2025 06:15","Belgium (BE)","8933.46","8584.44"
"16/10/2025 06:15 - 16/10/2025 06:30","Belgium (BE)","9227.95","8826.82"
"16/10/2025 06:30 - 16/10/2025 06:45","Belgium (BE)","9261.68","9020.27"
"16/10/2025 06:45 - 16/10/2025 07:00","Belgium (BE)","9498.48","9267.67"
"16/10/2025 07:00 - 16/10/2025 07:15","Belgium (BE)","9839.25","9661.41"
"16/10/2025 07:15 - 16/10/2025 07:30","Belgium (BE)","10063.48","9862.45"
"16/10/2025 07:30 - 16/10/2025 07:45","Belgium (BE)","10265.88","10037.80"
"16/10/2025 07:45 - 16/10/2025 08:00","Belgium (BE)","10502.00","10168.81"
"16/10/2025 08:00 - 16/10/2025 08:15","Belgium (BE)","10377.48","10214.90"
"16/10/2025 08:15 - 16/10/2025 08:30","Belgium (BE)","10419.87","10369.47"
"16/10/2025 08:30 - 16/10/2025 08:45","Belgium (BE)","10637.56","10546.41"
"16/10/2025 08:45 - 16/10/2025 09:00","Belgium (BE)","10773.92","10684.29"
"16/10/2025 09:00 - 16/10/2025 09:15","Belgium (BE)","10751.67","10555.76"
"16/10/2025 09:15 - 16/10/2025 09:30","Belgium (BE)","10741.64","10665.58"
"16/10/2025 09:30 - 16/10/2025 09:45","Belgium (BE)","10916.53","10769.00"
"16/10/2025 09:45 - 16/10/2025 10:00","Belgium (BE)","10983.62","10834.87"
"16/10/2025 10:00 - 16/10/2025 10:15","Belgium (BE)","11231.10","10706.42"
"16/10/2025 10:15 - 16/10/2025 10:30","Belgium (BE)","11295.83","10711.07"
"16/10/2025 10:30 - 16/10/2025 10:45","Belgium (BE)","11448.56","10783.15"
"16/10/2025 10:45 - 16/10/2025 11:00","Belgium (BE)","11400.12","10908.16"
"16/10/2025 11:00 - 16/10/2025 11:15","Belgium (BE)","11185.39","10748.37"
"16/10/2025 11:15 - 16/10/2025 11:30","Belgium (BE)","11281.47","10799.50"
"16/10/2025 11:30 - 16/10/2025 11:45","Belgium (BE)","11277.44","10915.26"
"16/10/2025 11:45 - 16/10/2025 12:00","Belgium (BE)","11480.29","10963.29"
"16/10/2025 12:00 - 16/10/2025 12:15","Belgium (BE)","11427.12","10606.26"
"16/10/2025 12:15 - 16/10/2025 12:30","Belgium (BE)","10889.26","10537.31"
"16/10/2025 12:30 - 16/10/2025 12:45","Belgium (BE)","10824.56","10553.75"
"16/10/2025 12:45 - 16/10/2025 13:00","Belgium (BE)","10985.07","10557.10"
"16/10/2025 13:00 - 16/10/2025 13:15","Belgium (BE)","11105.04","10508.87"
"16/10/2025 13:15 - 16/10/2025 13:30","Belgium (BE)","11102.13","10471.32"
"16/10/2025 13:30 - 16/10/2025 13:45","Belgium (BE)","11215.61","10458.06"
"16/10/2025 13:45 - 16/10/2025 14:00","Belgium (BE)","10970.68","10351.68"
"16/10/2025 14:00 - 16/10/2025 14:15","Belgium (BE)","10878.77","10402.84"
"16/10/2025 14:15 - 16/10/2025 14:30","Belgium (BE)","10868.73","10386.92"
"16/10/2025 14:30 - 16/10/2025 14:45","Belgium (BE)","10754.21","10319.71"
"16/10/2025 14:45 - 16/10/2025 15:00","Belgium (BE)","10511.65","10159.87"
"16/10/2025 15:00 - 16/10/2025 15:15","Belgium (BE)","10537.59","10367.31"
"16/10/2025 15:15 - 16/10/2025 15:30","Belgium (BE)","10618.80","10269.27"
"16/10/2025 15:30 - 16/10/2025 15:45","Belgium (BE)","10375.79","10148.88"
"16/10/2025 15:45 - 16/10/2025 16:00","Belgium (BE)","10379.32","10015.18"
"16/10/2025 16:00 - 16/10/2025 16:15","Belgium (BE)","10117.37","10287.95"
"16/10/2025 16:15 - 16/10/2025 16:30","Belgium (BE)","10120.46","10152.21"
"16/10/2025 16:30 - 16/10/2025 16:45","Belgium (BE)","10161.34","10142.87"
"16/10/2025 16:45 - 16/10/2025 17:00","Belgium (BE)","10180.31","10136.39"
"16/10/2025 17:00 - 16/10/2025 17:15","Belgium (BE)","10425.42","10434.26"
"16/10/2025 17:15 - 16/10/2025 17:30","Belgium (BE)","10398.83","10379.18"
"16/10/2025 17:30 - 16/10/2025 17:45","Belgium (BE)","10593.98","10378.59"
"16/10/2025 17:45 - 16/10/2025 18:00","Belgium (BE)","10627.87","10430.58"
"16/10/2025 18:00 - 16/10/2025 18:15","Belgium (BE)","10683.76","10535.94"
"16/10/2025 18:15 - 16/10/2025 18:30","Belgium (BE)","10661.30","10547.13"
"16/10/2025 18:30 - 16/10/2025 18:45","Belgium (BE)","10697.33","10537.59"
"16/10/2025 18:45 - 16/10/2025 19:00","Belgium (BE)","10693.72","10493.41"
"16/10/2025 19:00 - 16/10/2025 19:15","Belgium (BE)","10831.10","10639.72"
"16/10/2025 19:15 - 16/10/2025 19:30","Belgium (BE)","10790.27","10624.62"
"16/10/2025 19:30 - 16/10/2025 19:45","Belgium (BE)","10609.47","10599.58"
"16/10/2025 19:45 - 16/10/2025 20:00","Belgium (BE)","10633.98","10555.15"
"16/10/2025 20:00 - 16/10/2025 20:15","Belgium (BE)","10372.89","10328.12"
